user_id,churned,days_since_last_trip_x,days_since_last_session,trips_last_7_days,trips_last_30_days_x,trips_last_60_days,trips_last_90_days,monetary_total_x,monetary_avg,trips_lifetime,monetary_last_30d,days_since_last_trip_y,trips_last_30_days_y,monetary_total_y,recency_score,frequency_score,monetary_score,rfm_score_combined,avg_trip_duration,avg_fare,avg_surge,tip_rate,peak_hour_rate,weekend_ratio,rainy_ride_ratio,preferred_payment_encoded,avg_driver_rating_received,avg_driver_received,sessions_last_30d,sessions_last_60d,avg_time_on_app,avg_pages_visited,session_conversion_rate,engagement_score,account_age_days,r30,p30,activity_trend,activity_ratio,unique_active_days,was_referred,avg_rating_given,loyalty_encoded,city_encoded
R00026,0,28,0.0,0,2,6,9,328.97,18.28,18,18.39,28,2,328.97,2,3,2,7,29.28,15.67,1.1,0.22,0.5,0.28,0.28,0,4.1,4.1,5.0,5.0,12.2,1.2,0.2,14.64,262,2.0,4.0,-2.0,0.5,18,0,4.7,0,1
R00027,0,6,0.0,1,2,6,7,600.84,25.04,24,20.16,6,2,600.84,4,3,5,12,28.33,17.21,1.21,0.42,0.38,0.21,0.12,0,4.292,4.292,4.0,4.0,19.0,2.5,0.0,47.5,654,2.0,4.0,-2.0,0.5,23,1,4.7,1,2
R00029,0,6,0.0,1,2,3,5,310.42,22.17,14,44.75,6,2,310.42,4,3,2,9,25.29,16.74,1.24,0.43,0.5,0.29,0.21,0,3.986,3.986,7.0,7.0,384.71,2.71,0.14,1042.56,489,2.0,1.0,1.0,2.0,14,1,4.8,0,1
R00030,0,19,0.0,0,1,2,4,261.09,16.32,16,13.05,19,1,261.09,2,1,1,4,34.62,14.63,1.09,0.38,0.56,0.56,0.12,0,3.912,3.912,4.0,4.0,351.25,3.0,0.25,1053.75,234,1.0,1.0,0.0,1.0,16,1,4.1,0,1
R00031,0,14,0.0,0,1,4,5,552.66,22.11,25,13.99,14,1,552.66,3,1,5,9,36.08,16.78,1.22,0.4,0.68,0.36,0.36,0,4.136,4.136,8.0,8.0,55.0,2.25,0.12,123.75,404,1.0,3.0,-2.0,0.33,23,0,4.1,0,1
R00032,0,2,0.0,1,3,5,6,316.68,16.67,19,77.444,2,3,316.68,5,4,2,11,38.74,14.97,1.05,0.26,0.26,0.11,0.11,0,4.511,4.511,4.0,4.0,99.0,3.75,0.0,371.25,218,3.0,2.0,1.0,1.5,18,0,5.0,0,0
R00033,0,5,0.0,1,1,4,4,437.95,19.91,22,11.36,5,1,437.95,4,1,4,9,37.14,15.72,1.16,0.23,0.14,0.27,0.14,0,4.173,4.173,5.0,5.0,44.2,1.8,0.0,79.56,431,1.0,3.0,-2.0,0.33,22,1,4.6,0,2
R00034,0,8,0.0,0,3,4,5,406.47,18.48,22,43.66,8,3,406.47,4,4,4,12,31.55,14.79,1.14,0.23,0.14,0.36,0.09,0,4.059,4.059,6.0,6.0,11.0,2.67,0.0,29.37,323,3.0,1.0,2.0,3.0,22,0,3.1,1,0
R00035,0,5,0.0,1,1,3,4,217.96,19.81,11,17.02,5,1,217.96,4,1,1,6,34.73,16.53,1.14,0.18,0.09,0.27,0.27,0,4.2,4.2,7.0,7.0,37.57,1.71,0.14,64.24,92,1.0,2.0,-1.0,0.5,11,0,4.7,0,0
R00036,0,13,0.0,0,2,4,6,411.22,17.13,24,35.78,13,2,411.22,3,3,4,10,32.42,14.17,1.12,0.29,0.29,0.25,0.21,0,4.158,4.158,3.0,3.0,29.0,2.33,0.0,67.57,358,2.0,2.0,0.0,1.0,24,0,3.9,0,1
R00037,0,29,0.0,0,1,2,3,373.33,19.65,19,14.412,29,1,373.33,2,1,3,6,32.32,15.05,1.17,0.79,0.0,0.47,0.32,0,4.295,4.295,1.0,1.0,46.0,5.0,0.0,230.0,420,1.0,1.0,0.0,1.0,19,0,3.9,2,0
R00038,0,21,0.0,0,1,4,5,272.11,15.12,18,32.814,21,1,272.11,2,1,1,4,30.83,13.17,1.1,0.22,0.17,0.39,0.06,0,4.394,4.394,4.0,4.0,117.75,2.75,0.25,323.81,502,1.0,3.0,-2.0,0.33,18,0,5.0,1,0
R00039,1,6,0.0,1,2,3,4,179.76,12.84,14,16.22,6,2,179.76,4,3,1,8,31.07,12.34,1.01,0.43,0.21,0.21,0.07,0,4.479,4.479,7.0,7.0,54.71,2.86,0.0,156.47,235,2.0,1.0,1.0,2.0,14,0,4.5,0,0
R00040,0,9,0.0,0,2,3,6,212.93,14.2,15,29.97,9,2,212.93,4,3,1,8,31.73,13.06,1.06,0.33,0.13,0.4,0.07,0,4.167,4.167,4.0,4.0,96.75,3.0,0.0,290.25,273,2.0,1.0,1.0,2.0,15,0,3.9,1,2
R00041,0,0,0.0,1,2,2,6,271.3,15.96,17,20.200000000000003,0,2,271.3,5,3,1,9,28.0,14.42,1.1,0.18,0.59,0.53,0.12,0,4.218,4.218,3.0,3.0,35.0,3.33,0.0,116.55,496,2.0,0.0,2.0,2.0,17,0,3.7,0,1
R00042,0,20,0.0,0,1,2,2,283.11,16.65,17,15.19,20,1,283.11,2,1,1,4,35.24,13.37,1.15,0.35,0.35,0.12,0.24,0,4.041,4.041,3.0,3.0,19.67,4.0,0.0,78.68,570,1.0,1.0,0.0,1.0,17,0,3.9,0,1
R00043,0,2,0.0,2,3,5,8,418.6,19.93,21,71.566,2,3,418.6,5,4,4,13,39.48,16.89,1.12,0.38,0.24,0.33,0.14,0,4.419,4.419,3.0,3.0,76.67,1.33,0.0,101.97,209,3.0,2.0,1.0,1.5,20,0,3.7,0,0
R00044,0,61,0.0,0,0,0,1,406.07,22.56,18,0.0,61,0,406.07,1,1,4,6,31.67,17.23,1.23,0.17,0.39,0.28,0.44,0,4.006,4.006,6.0,6.0,73.83,3.17,0.0,234.04,154,0.0,0.0,0.0,0.0,18,0,4.7,0,2
R00045,0,29,0.0,0,1,1,3,366.82,20.38,18,16.406,29,1,366.82,2,1,3,6,36.39,16.64,1.19,0.22,0.22,0.44,0.28,0,4.256,4.256,9.0,9.0,61.22,2.89,0.0,176.93,135,1.0,0.0,1.0,1.0,17,0,4.8,0,0
R00046,0,9,0.0,0,1,3,4,483.49,16.67,29,12.92,9,1,483.49,4,1,5,10,29.72,14.69,1.09,0.31,0.28,0.28,0.17,0,4.397,4.397,5.0,5.0,129.4,4.2,0.4,543.48,499,1.0,2.0,-1.0,0.5,28,0,4.7,0,2
R00047,0,7,0.0,0,2,3,7,406.63,19.36,21,49.28,7,2,406.63,4,3,4,11,30.52,16.41,1.09,0.33,0.14,0.24,0.14,0,4.043,4.043,3.0,3.0,135.33,2.33,0.0,315.32,358,2.0,1.0,1.0,2.0,21,0,3.9,0,0
R00048,1,0,0.0,1,1,2,3,432.27,20.58,21,16.388,0,1,432.27,5,1,4,10,30.86,14.91,1.27,0.38,0.05,0.29,0.38,0,4.248,4.248,5.0,5.0,13.0,2.4,0.0,31.2,366,1.0,1.0,0.0,1.0,20,0,4.5,0,0
R00049,0,3,0.0,1,1,2,3,321.92,17.88,18,9.013,3,1,321.92,5,1,2,8,24.44,14.88,1.11,0.44,0.72,0.33,0.17,0,4.261,4.261,11.0,11.0,49.36,2.45,0.18,120.93,471,1.0,1.0,0.0,1.0,18,0,4.7,1,1
R00050,0,96,0.0,0,0,0,0,300.64,23.13,13,0.0,96,0,300.64,1,1,2,4,35.23,15.97,1.25,0.23,0.54,0.08,0.08,0,4.162,4.162,11.0,11.0,88.27,3.18,0.0,280.7,516,0.0,0.0,0.0,0.0,12,0,5.0,0,1
R00051,0,16,0.0,0,2,4,4,359.58,16.34,22,70.68,16,2,359.58,3,3,3,9,31.41,13.78,1.1,0.32,0.32,0.09,0.14,0,3.918,3.918,8.0,8.0,121.38,3.0,0.12,364.14,359,2.0,2.0,0.0,1.0,22,1,4.3,0,0
R00052,1,23,0.0,0,1,2,3,439.22,19.96,22,10.09,23,1,439.22,2,1,4,7,23.77,15.66,1.19,0.36,0.27,0.27,0.32,0,4.223,4.223,3.0,3.0,125.67,3.67,0.33,461.21,485,1.0,1.0,0.0,1.0,21,1,4.7,0,0
R00053,0,2,0.0,1,2,3,5,321.62,16.93,19,45.665000000000006,2,2,321.62,5,3,2,10,33.16,14.94,1.08,0.32,0.05,0.26,0.21,0,3.826,3.826,1.0,1.0,53.0,5.0,1.0,265.0,480,2.0,1.0,1.0,2.0,19,0,4.7,0,2
R00054,0,4,0.0,1,2,3,4,280.87,18.72,15,34.46,4,2,280.87,5,3,1,9,26.47,16.61,1.07,0.33,0.27,0.27,0.07,0,4.193,4.193,4.0,4.0,49.5,3.5,0.5,173.25,415,2.0,1.0,1.0,2.0,15,1,5.0,1,0
R00055,1,10,0.0,0,2,3,5,378.25,21.01,18,41.51,10,2,378.25,3,3,3,9,32.06,17.18,1.13,0.28,0.61,0.28,0.33,0,4.106,4.106,2.0,2.0,2.5,2.5,0.0,6.25,205,2.0,1.0,1.0,2.0,18,0,4.1,0,1
R00056,0,40,0.0,0,0,3,3,397.63,17.29,23,0.0,40,0,397.63,1,1,3,5,30.09,15.16,1.11,0.26,0.26,0.22,0.3,0,4.178,4.178,2.0,2.0,65.0,3.5,0.0,227.5,455,0.0,3.0,-3.0,0.0,23,1,5.0,0,2
R00058,0,6,0.0,1,2,3,4,309.47,19.34,16,51.362,6,2,309.47,4,3,2,9,28.69,15.8,1.1,0.5,0.06,0.25,0.25,0,4.194,4.194,5.0,5.0,71.2,1.8,0.4,128.16,563,2.0,1.0,1.0,2.0,16,0,5.0,2,0
R00060,0,7,0.0,0,2,4,6,322.41,16.97,19,31.905,7,2,322.41,4,3,2,9,33.95,14.31,1.11,0.11,0.47,0.37,0.11,0,4.1,4.1,5.0,5.0,285.8,3.0,0.0,857.4,134,2.0,2.0,0.0,1.0,19,1,4.7,0,1
R00061,0,49,0.0,0,0,1,2,488.96,18.81,26,0.0,49,0,488.96,1,1,5,7,27.81,15.22,1.17,0.31,0.27,0.19,0.23,0,4.015,4.015,2.0,2.0,15.5,3.0,0.0,46.5,291,0.0,1.0,-1.0,0.0,25,0,4.1,0,2
R00062,0,25,0.0,0,1,4,7,401.71,18.26,22,13.29,25,1,401.71,2,1,4,7,32.41,15.65,1.09,0.27,0.32,0.18,0.14,0,4.314,4.314,3.0,3.0,61.33,5.0,0.33,306.65,581,1.0,3.0,-2.0,0.33,20,1,4.9,1,2
R00064,0,16,0.0,0,3,6,6,334.88,25.76,13,85.365,16,3,334.88,3,4,2,9,27.46,18.49,1.29,0.08,0.46,0.38,0.31,0,4.177,4.177,5.0,5.0,171.6,1.4,0.2,240.24,285,3.0,3.0,0.0,1.0,12,0,4.5,1,1
R00065,0,7,0.0,0,2,4,5,402.74,22.37,18,28.1,7,2,402.74,4,3,4,11,24.89,17.52,1.14,0.22,0.22,0.33,0.11,0,4.344,4.344,2.0,2.0,8.0,3.0,0.0,24.0,382,2.0,2.0,0.0,1.0,18,0,4.7,1,2
R00066,0,43,0.0,0,0,1,2,312.48,16.45,19,0.0,43,0,312.48,1,1,2,4,27.53,14.17,1.09,0.47,0.21,0.32,0.21,0,4.016,4.016,1.0,1.0,18.0,2.0,0.0,36.0,488,0.0,1.0,-1.0,0.0,18,0,4.6,0,2
R00067,0,43,0.0,0,0,2,3,212.24,14.15,15,0.0,43,0,212.24,1,1,1,3,31.73,12.66,1.0,0.8,0.4,0.33,0.07,0,4.493,4.493,4.0,4.0,36.5,2.0,0.0,73.0,289,0.0,2.0,-2.0,0.0,15,1,4.6,3,1
R00068,0,4,0.0,1,2,3,5,487.16,18.74,26,33.055,4,2,487.16,5,3,5,13,32.15,14.86,1.16,0.35,0.23,0.23,0.15,0,4.012,4.012,10.0,10.0,43.4,2.9,0.1,125.86,278,2.0,1.0,1.0,2.0,26,0,4.2,1,0
R00069,0,1,0.0,1,1,4,5,369.99,14.8,25,10.28,1,1,369.99,5,1,3,9,30.16,13.24,1.06,0.32,0.32,0.28,0.2,0,4.02,4.02,6.0,6.0,61.17,3.17,0.0,193.91,73,1.0,3.0,-2.0,0.33,23,1,3.8,0,0
R00070,0,17,0.0,0,2,3,3,395.84,21.99,18,49.480999999999995,17,2,395.84,3,3,3,9,28.22,16.46,1.23,0.44,0.17,0.11,0.28,0,4.328,4.328,7.0,7.0,119.71,2.14,0.0,256.18,328,2.0,1.0,1.0,2.0,18,0,5.0,0,0
R00071,0,3,0.0,1,5,5,7,495.64,15.49,32,76.91499999999999,3,5,495.64,5,5,5,15,35.53,13.74,1.08,0.12,0.28,0.34,0.16,0,4.203,4.203,5.0,5.0,124.0,4.0,0.0,496.0,705,5.0,0.0,5.0,5.0,32,1,4.1,0,2
R00072,0,21,0.0,0,3,4,5,372.15,18.61,20,37.65,21,3,372.15,2,4,3,9,31.25,15.35,1.12,0.55,0.2,0.3,0.15,0,4.225,4.225,3.0,3.0,32.0,2.33,0.67,74.56,407,3.0,1.0,2.0,3.0,20,0,4.3,2,2
R00073,0,12,0.0,0,1,4,4,431.92,27.0,16,50.32,12,1,431.92,3,1,4,8,29.75,18.4,1.32,0.19,0.12,0.56,0.31,0,4.188,4.188,2.0,2.0,246.5,2.5,0.0,616.25,534,1.0,3.0,-2.0,0.33,15,0,5.0,1,0
R00074,0,6,0.0,1,3,3,3,372.42,17.73,21,76.144,6,3,372.42,4,4,3,11,27.43,15.08,1.1,0.33,0.24,0.24,0.19,0,4.262,4.262,9.0,9.0,122.67,2.89,0.22,354.52,335,3.0,0.0,3.0,3.0,21,0,4.7,1,0
R00075,1,16,0.0,0,3,5,7,451.36,21.49,21,73.648,16,3,451.36,3,4,4,11,32.48,16.51,1.22,0.19,0.38,0.24,0.24,0,4.057,4.057,7.0,7.0,58.14,2.71,0.29,157.56,565,3.0,2.0,1.0,1.5,20,1,4.6,0,1
R00077,0,24,0.0,0,2,2,2,296.22,22.79,13,78.226,24,2,296.22,2,3,2,7,29.69,17.44,1.21,0.54,0.0,0.08,0.23,0,4.246,4.246,7.0,7.0,369.14,3.43,0.14,1266.15,623,2.0,0.0,2.0,2.0,13,0,4.3,1,0
R00078,0,0,0.0,1,1,1,3,470.22,24.75,19,9.47,0,1,470.22,5,1,5,11,25.42,17.23,1.27,0.32,0.42,0.37,0.32,0,4.2,4.2,6.0,6.0,91.33,1.83,0.0,167.13,355,1.0,0.0,1.0,1.0,19,0,4.1,0,2
R00079,1,12,0.0,0,2,6,9,676.28,21.82,31,34.05,12,2,676.28,3,3,5,11,38.13,16.68,1.21,0.29,0.29,0.35,0.23,0,4.029,4.029,6.0,6.0,62.33,2.83,0.17,176.39,250,2.0,4.0,-2.0,0.5,30,1,4.6,1,2
R00080,0,73,0.0,0,0,0,1,396.15,19.81,20,0.0,73,0,396.15,1,1,3,5,30.6,16.3,1.18,0.15,0.35,0.1,0.25,0,4.095,4.095,4.0,4.0,95.5,3.5,0.0,334.25,243,0.0,0.0,0.0,0.0,19,0,4.0,1,0
R00081,0,48,0.0,0,0,1,3,480.57,19.22,25,0.0,48,0,480.57,1,1,5,7,33.72,15.32,1.14,0.2,0.28,0.4,0.2,0,4.188,4.188,10.0,10.0,84.4,3.0,0.1,253.2,677,0.0,1.0,-1.0,0.0,25,1,4.6,0,0
R00082,0,0,0.0,1,2,4,5,516.8,24.61,21,28.542,0,2,516.8,5,3,5,13,28.14,17.65,1.2,0.24,0.29,0.33,0.19,0,4.143,4.143,4.0,4.0,87.5,2.0,0.0,175.0,372,2.0,2.0,0.0,1.0,21,1,3.7,1,0
R00083,0,19,0.0,0,2,5,7,340.97,20.06,17,80.029,19,2,340.97,2,3,2,7,37.18,16.84,1.12,0.41,0.29,0.35,0.12,0,4.359,4.359,5.0,5.0,375.0,3.0,0.2,1125.0,573,2.0,3.0,-1.0,0.67,17,1,5.0,0,1
R00084,0,10,0.0,0,1,3,6,440.3,22.02,20,12.5,10,1,440.3,3,1,4,8,30.2,17.3,1.18,0.65,0.15,0.3,0.25,0,4.17,4.17,5.0,5.0,393.6,3.2,0.6,1259.52,89,1.0,2.0,-1.0,0.5,19,0,4.6,2,0
R00085,0,53,0.0,0,0,2,3,341.87,17.99,19,0.0,53,0,341.87,1,1,2,4,31.47,14.4,1.16,0.42,0.58,0.32,0.21,0,4.2,4.2,2.0,2.0,71.0,2.0,0.5,142.0,403,0.0,2.0,-2.0,0.0,19,0,4.5,1,1
R00086,0,45,0.0,0,0,1,2,424.64,17.69,24,0.0,45,0,424.64,1,1,4,6,36.08,14.84,1.1,0.42,0.46,0.38,0.08,0,4.246,4.246,1.0,1.0,743.0,2.0,0.0,1486.0,686,0.0,1.0,-1.0,0.0,24,0,5.0,0,1
R00087,1,5,0.0,1,4,6,6,365.47,18.27,20,75.09400000000001,5,4,365.47,4,5,3,12,33.95,15.77,1.1,0.4,0.2,0.25,0.2,0,4.175,4.175,4.0,4.0,13.25,1.5,0.0,19.88,563,4.0,2.0,2.0,2.0,20,0,4.3,1,0
R00088,0,6,0.0,1,2,2,2,379.67,18.08,21,27.88,6,2,379.67,4,3,3,10,32.95,15.15,1.11,0.33,0.33,0.29,0.19,0,4.086,4.086,5.0,5.0,64.8,2.6,0.2,168.48,278,2.0,0.0,2.0,2.0,20,0,3.8,1,0
R00089,0,15,0.0,0,3,5,6,634.84,21.16,30,53.302,15,3,634.84,3,4,5,12,26.47,16.54,1.17,0.33,0.43,0.4,0.2,0,4.233,4.233,5.0,5.0,561.0,3.2,0.2,1795.2,279,3.0,2.0,1.0,1.5,27,0,4.6,0,1
R00090,0,24,0.0,0,1,2,3,583.6,24.32,24,11.363,24,1,583.6,2,1,5,8,27.67,16.94,1.22,0.75,0.33,0.29,0.33,0,4.167,4.167,8.0,8.0,62.12,2.38,0.38,147.85,535,1.0,1.0,0.0,1.0,24,0,4.0,2,1
R00091,0,132,0.0,0,0,0,0,303.19,20.21,15,0.0,132,0,303.19,1,1,2,4,28.47,16.5,1.17,0.47,0.13,0.13,0.2,0,3.973,3.973,6.0,6.0,27.67,2.33,0.0,64.47,262,0.0,0.0,0.0,0.0,15,0,4.3,1,0
R00092,0,7,0.0,0,3,4,7,470.91,21.4,22,47.352000000000004,7,3,470.91,4,4,5,13,26.91,16.75,1.15,0.45,0.23,0.36,0.05,0,4.136,4.136,4.0,4.0,62.5,2.5,0.25,156.25,633,3.0,1.0,2.0,3.0,22,0,4.4,0,2
R00093,0,0,0.0,1,2,3,5,411.09,15.81,26,29.26,0,2,411.09,5,3,4,12,35.12,14.18,1.05,0.46,0.23,0.35,0.15,0,4.196,4.196,5.0,5.0,94.4,2.6,0.0,245.44,65,2.0,1.0,1.0,2.0,25,0,4.5,0,0
R00094,0,10,0.0,0,2,2,4,287.64,14.38,20,22.67,10,2,287.64,3,3,1,7,31.85,13.22,1.05,0.35,0.2,0.6,0.1,0,4.155,4.155,11.0,11.0,38.18,2.64,0.27,100.8,635,2.0,0.0,2.0,2.0,19,0,5.0,1,0
R00095,0,84,0.0,0,0,0,1,453.12,20.6,22,0.0,84,0,453.12,1,1,4,6,30.36,16.58,1.17,0.32,0.32,0.27,0.27,0,4.273,4.273,5.0,5.0,95.4,3.4,0.2,324.36,246,0.0,0.0,0.0,0.0,20,1,3.8,0,0
R00096,0,13,0.0,0,2,4,5,455.99,19.83,23,32.120000000000005,13,2,455.99,3,3,4,10,29.83,15.56,1.1,0.57,0.3,0.26,0.17,0,4.239,4.239,5.0,5.0,39.2,2.4,0.0,94.08,200,2.0,2.0,0.0,1.0,23,1,4.7,2,0
R00097,0,32,0.0,0,0,1,4,248.62,15.54,16,0.0,32,0,248.62,1,1,1,3,32.38,13.05,1.17,0.19,0.44,0.12,0.25,0,4.175,4.175,5.0,5.0,87.4,2.0,0.0,174.8,521,0.0,1.0,-1.0,0.0,16,0,5.0,0,2
R00098,0,2,0.0,2,4,6,6,399.86,16.66,24,85.506,2,4,399.86,5,5,4,14,30.79,14.9,1.08,0.17,0.17,0.38,0.12,0,4.367,4.367,4.0,4.0,6.5,3.0,0.0,19.5,367,4.0,2.0,2.0,2.0,23,0,4.5,0,0
R00099,1,14,0.0,0,4,5,5,490.03,18.85,26,70.194,14,4,490.03,3,5,5,13,29.38,15.23,1.17,0.27,0.58,0.42,0.23,0,4.162,4.162,3.0,3.0,28.0,2.0,0.33,56.0,236,4.0,1.0,3.0,4.0,26,1,5.0,0,1
R00100,0,21,0.0,0,2,3,6,451.55,19.63,23,43.89,21,2,451.55,2,3,4,9,25.61,16.68,1.13,0.22,0.3,0.22,0.22,0,4.209,4.209,6.0,6.0,42.17,2.33,0.0,98.26,484,2.0,1.0,1.0,2.0,20,1,4.5,0,0
R00101,0,2,0.0,1,1,2,3,482.68,17.24,28,36.77,2,1,482.68,5,1,5,11,28.5,14.32,1.13,0.39,0.32,0.25,0.21,0,4.282,4.282,2.0,2.0,26.0,2.5,0.0,65.0,538,1.0,1.0,0.0,1.0,27,0,3.7,1,0
R00102,0,17,0.0,0,1,2,2,201.11,16.76,12,44.43599999999999,17,1,201.11,3,2,1,6,26.08,14.3,1.11,0.25,0.33,0.33,0.25,0,4.117,4.117,4.0,4.0,227.5,3.5,0.25,796.25,543,1.0,1.0,0.0,1.0,12,0,4.4,1,2
R00104,0,20,0.0,0,2,3,5,348.05,20.47,17,42.19,20,2,348.05,2,3,3,8,29.76,16.71,1.17,0.24,0.18,0.29,0.24,0,4.3,4.3,6.0,6.0,44.33,3.17,0.17,140.53,370,2.0,1.0,1.0,2.0,17,0,4.2,1,0
